,precision,recall,f1-score,support
0,0.9348830460270474,0.8432418566178396,0.8867009446634224,191014.0
1,0.5416513592946363,0.7592695905930822,0.6322588714576707,46604.0
accuracy,0.8267723825636105,0.8267723825636105,0.8267723825636105,0.8267723825636105
macro avg,0.7382672026608419,0.8012557236054609,0.7594799080605465,237618.0
weighted avg,0.8577585456589049,0.8267723825636105,0.8367972404841058,237618.0
