,precision,recall,f1-score,support
0,0.7987441931696361,0.8191336760656287,0.8088104542728946,191014.0
1,0.81439577087967,0.7936067513375983,0.8038668759545223,191014.0
accuracy,0.8063702137016135,0.8063702137016135,0.8063702137016135,0.8063702137016135
macro avg,0.806569982024653,0.8063702137016135,0.8063386651137084,382028.0
weighted avg,0.806569982024653,0.8063702137016135,0.8063386651137084,382028.0
