,precision,recall,f1-score,support
0,0.8828710679539409,0.9938643240809574,0.9350855330236774,191014.0
1,0.9481186365648517,0.45957428546905843,0.6190710177182993,46604.0
accuracy,0.8890740600459561,0.8890740600459561,0.8890740600459561,0.8890740600459561
macro avg,0.9154948522593963,0.7267193047750079,0.7770782753709884,237618.0
weighted avg,0.8956680685496149,0.8890740600459561,0.8731056305276886,237618.0
