,precision,recall,f1-score,support
0,0.7302687731159941,0.9137707183766635,0.8117788226758382,191014.0
1,0.884831067852548,0.6624907074874093,0.7576864353501183,191014.0
accuracy,0.7881307129320364,0.7881307129320364,0.7881307129320364,0.7881307129320364
macro avg,0.8075499204842711,0.7881307129320364,0.7847326290129782,382028.0
weighted avg,0.8075499204842711,0.7881307129320364,0.7847326290129782,382028.0
