,precision,recall,f1-score,support
0,0.9386988933979298,0.8246725370915221,0.8779990245941615,191014.0
1,0.5202486856618964,0.7792678740022315,0.6239444726013864,46604.0
accuracy,0.8157673240242742,0.8157673240242742,0.8157673240242742,0.8157673240242742
macro avg,0.729473789529913,0.8019702055468768,0.7509717485977739,237618.0
weighted avg,0.8566282864517806,0.8157673240242742,0.828171324920436,237618.0
