,precision,recall,f1-score,support
0,0.8829181627071977,0.9938433832075135,0.9351026781536158,191014.0
1,0.9479784128107582,0.45983177409664405,0.619274671290276,46604.0
accuracy,0.8891077275290592,0.8891077275290592,0.8891077275290592,0.8891077275290592
macro avg,0.915448287758978,0.7268375786520788,0.7771886747219459,237618.0
weighted avg,0.8956784245384829,0.8891077275290592,0.873159355543969,237618.0
