,precision,recall,f1-score,support
0,0.9161381772364553,0.9135770152973081,0.9148558037610028,191014.0
1,0.6497942212227926,0.6572397219122822,0.6534957649719443,46604.0
accuracy,0.8633016017305086,0.8633016017305086,0.8633016017305086,0.8633016017305086
macro avg,0.782966199229624,0.7854083686047951,0.7841757843664736,237618.0
weighted avg,0.8639001577006427,0.8633016017305086,0.8635952795257796,237618.0
