,precision,recall,f1-score,support
0,0.7912971161363896,0.8318657271194781,0.8110744447081704,191014.0
1,0.8227799206493729,0.7805972337106181,0.8011336924254839,191014.0
accuracy,0.8062314804150481,0.8062314804150481,0.8062314804150481,0.8062314804150481
macro avg,0.8070385183928812,0.8062314804150481,0.8061040685668271,382028.0
weighted avg,0.8070385183928813,0.8062314804150481,0.8061040685668271,382028.0
