,precision,recall,f1-score,support
0,0.9160685690284304,0.9134356644015622,0.9147502221616393,191014.0
1,0.6493330222891438,0.6569822332846966,0.6531352325693015,46604.0
accuracy,0.8631374727503809,0.8631374727503809,0.8631374727503809,0.8631374727503809
macro avg,0.782700795658787,0.7852089488431294,0.7839427273654704,237618.0
weighted avg,0.8637537468338251,0.8631374727503809,0.8634396944450465,237618.0
